arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2502.15706,Multi-Failure Localization in High-Degree ROADM-based Optical Networks using Rules-Informed Neural Networks,"Ruikun Wang, Qiaolun Zhang, Jiawei Zhang, Zhiqun Gu, Memedhe Ibrahimi, Hao Yu, Bojun Zhang, Francesco Musumeci, Yuefeng Ji, Massimo Tornatore",This is the author's version of the work. This work was accepted by IEEE Journal on Selected Areas in Communications,"IEEE Journal on Selected Areas in Communications, 2025",Networking and Internet Architecture (cs.NI); Signal Processing (eess.SP),https://arxiv.org/abs/2502.15706,https://arxiv.org/pdf/2502.15706,https://arxiv.org/html/2502.15706v1,https://arxiv.org/format/2502.15706
arXiv:2502.15746,CacheMamba: Popularity Prediction for Mobile Edge Caching Networks via Selective State Spaces,"Ghazaleh Kianfar, Zohreh Hajiakhondi-Meybodi, Arash Mohammadi",,,Networking and Internet Architecture (cs.NI); Machine Learning (cs.LG); Signal Processing (eess.SP),https://arxiv.org/abs/2502.15746,https://arxiv.org/pdf/2502.15746,https://arxiv.org/html/2502.15746v1,https://arxiv.org/format/2502.15746
arXiv:2502.15767,Breast Lump Detection and Localization with a Tactile Glove Using Deep Learning,"Togzhan Syrymova, Amir Yelenov, Karina Burunchina, Nazgul Abulkhanova, Huseyin Atakan Varol, Juan Antonio Corrales Ramon, Zhanat Kappassov",,,Quantitative Methods (q-bio.QM); Computer Vision and Pattern Recognition (cs.CV); Image and Video Processing (eess.IV),https://arxiv.org/abs/2502.15767,https://arxiv.org/pdf/2502.15767,https://arxiv.org/html/2502.15767v1,https://arxiv.org/format/2502.15767
arXiv:2502.15769,Asymptotic evaluation of the information processing capacity in reservoir computing,Yohei Saito,,,Information Theory (cs.IT); Machine Learning (cs.LG); Signal Processing (eess.SP),https://arxiv.org/abs/2502.15769,https://arxiv.org/pdf/2502.15769,https://arxiv.org/html/2502.15769v1,https://arxiv.org/format/2502.15769
arXiv:2502.15786,MindLLM: A Subject-Agnostic and Versatile Model for fMRI-to-Text Decoding,"Weikang Qiu, Zheng Huang, Haoyu Hu, Aosong Feng, Yujun Yan, Rex Ying","17 pages, 9 figures",,Neurons and Cognition (q-bio.NC); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Signal Processing (eess.SP),https://arxiv.org/abs/2502.15786,https://arxiv.org/pdf/2502.15786,https://arxiv.org/html/2502.15786v1,https://arxiv.org/format/2502.15786
arXiv:2502.15793,Anomaly Detection in Smart Power Grids with Graph-Regularized MS-SVDD: a Multimodal Subspace Learning Approach,"Thomas Debelle, Fahad Sohrab, Pekka Abrahamsson, Moncef Gabbouj","20 pages, 5 figures, supplementary material",,Machine Learning (cs.LG); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15793,https://arxiv.org/pdf/2502.15793,https://arxiv.org/html/2502.15793v1,https://arxiv.org/format/2502.15793
arXiv:2502.15809,Black Sheep in the Herd: Playing with Spuriously Correlated Attributes for Vision-Language Recognition,"Xinyu Tian, Shu Zou, Zhaoyuan Yang, Mengqi He, Jing Zhang",Accepted to ICLR2025,,Machine Learning (cs.LG); Image and Video Processing (eess.IV),https://arxiv.org/abs/2502.15809,https://arxiv.org/pdf/2502.15809,https://arxiv.org/html/2502.15809v1,https://arxiv.org/format/2502.15809
arXiv:2502.15814,Slamming: Training a Speech Language Model on One GPU in a Day,"Gallil Maimon, Avishai Elmakies, Yossi Adi",,,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Sound (cs.SD); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15814,https://arxiv.org/pdf/2502.15814,https://arxiv.org/html/2502.15814v1,https://arxiv.org/format/2502.15814
arXiv:2502.15829,"LACTOSE: Linear Array of Conditions, TOpologies with Separated Error-backpropagation -- The Differentiable ""IF"" Conditional for Differentiable Digital Signal Processing",Christopher Johann Clarke,6 pages,,Machine Learning (cs.LG); Neural and Evolutionary Computing (cs.NE); Sound (cs.SD); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15829,https://arxiv.org/pdf/2502.15829,https://arxiv.org/html/2502.15829v1,https://arxiv.org/format/2502.15829
arXiv:2502.15903,Computation Offloading Strategies in Integrated Terrestrial and Non-Terrestrial Networks,"Muhammad Ahmed Mohsin, Muhammad Umer, Amara Umar, Hatem Abou-Zeid, Syed Ali Hassan",Paper accepted as chapter to Elsevier,,"Distributed, Parallel, and Cluster Computing (cs.DC); Signal Processing (eess.SP)",https://arxiv.org/abs/2502.15903,https://arxiv.org/pdf/2502.15903,https://arxiv.org/html/2502.15903v1,https://arxiv.org/format/2502.15903
